Building for debugging...
[0/3] Write swift-version--58304C5D6DBC2206.txt
Build of product 'App' complete! (0.18s)
[ INFO ] GET /api/chat/unread [request-id: 7C7A0C52-7DB7-474A-873B-C94988EBA930]
[ INFO ] GET /api/chat/unread [request-id: 74241330-B121-4ED0-A464-7BA60B304708]
[ INFO ] GET /api/chat/unread [request-id: EA29C16C-D0FE-4CAC-B674-E074EAC30EDC]
[ INFO ] GET /api/chat/unread [request-id: FB026527-0B42-4421-B368-5B661DEECBF4]
[ INFO ] GET /api/chat/unread [request-id: B504D25C-885E-48D3-BB11-5E4D96B89564]
[ INFO ] GET /api/chat/unread [request-id: 83336692-09BD-4684-BFDD-16ED396FAFB5]
[ INFO ] GET /api/chat/unread [request-id: 1B897CE3-3853-448D-B406-E4233E4674EC]
[ INFO ] GET /api/chat/unread [request-id: 714C23D1-03B0-46E2-9F5E-C39ACFBAFFDD]
[ INFO ] GET /api/chat/unread [request-id: 9D70320F-D348-4078-B0F0-479026001FCA]
[ INFO ] GET /api/chat/unread [request-id: 94FED342-E365-42CC-83B6-1C8F07665DA7]
[ INFO ] GET /api/chat/unread [request-id: 48813E23-B79D-499B-B828-F1559F0D914D]
[ INFO ] GET /api/chat/unread [request-id: 41D16A18-CD08-4459-8E33-748A260DCC52]
[ INFO ] GET /api/chat/unread [request-id: 8569E669-D5FD-4D4D-869D-D9549264F8BF]
[ INFO ] GET /admin/index.html [request-id: FF3ED36D-2262-41F5-A291-CB71A3233F82]
[ INFO ] GET /api/games [request-id: B495B5A3-F49C-4F30-A5B0-B74F24832060]
[ INFO ] GET /api/admin/overview [request-id: EEEF6D8B-0D04-4E49-AAC5-725B0792D671]
[ INFO ] GET /api/chat/unread [request-id: 9390C1BA-E610-46ED-B8F9-33C4AF9BB80D]
[ INFO ] GET /api/admin/students [request-id: D4381F55-DC70-4A34-8D36-361A9A498AC8]
[ INFO ] GET /api/admin/klassen/list [request-id: 7D58A93D-A6A6-4347-9D7D-AFF862C9E7A7]
[ INFO ] GET /api/chat/all [request-id: 790F8DCB-E502-4E0C-82FA-2844784DEFDD]
[ INFO ] GET /api/admin/vocab/topics [request-id: F209A54D-C1F5-4DA1-A142-A187E13982C9]
[ INFO ] GET /api/pdf/list [request-id: A8CA8B1C-6B37-4DDC-98B4-ED3C45CB529E]
[ INFO ] GET /api/materials/admin/submissions [request-id: 25501459-6A56-4401-8250-FCA7DC2BDE76]
[ INFO ] GET /api/materials/admin/list-materials [request-id: 9E203C4C-EB71-436A-A735-5EA40F8959E7]
[ INFO ] GET /api/chat/unread [request-id: 40E68DF4-D69D-411E-9270-7F0C02545E52]
